url,id_inmueble,texto,precio_texto,area_m2,habitaciones,banos,parqueaderos,sector,ciudad,tipo_inmueble,operacion,fecha_extraccion
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-ub-castilla-real-2-habitaciones-1-banos/19709-M7036162,19709-M7036162,"VILLA ALSACIA | Occidental | Bogotá D.C. $247.000.000 Apartaestudio en Venta, VILLA ALSACIA, Bogotá D.C.",$247.000.000,33,2,1,,VILLA ALSACIA,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/23245-M6836952,23245-M6836952,"CHICO NORTE | Norte | Bogotá D.C. $1.200.000.000 Apartaestudio en Venta, CHICO NORTE, Bogotá D.C.",$1.200.000.000,70,1,1,1,CHICO NORTE,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-contador-1-habitaciones-1-banos-1-garajes/21445-M6729153,21445-M6729153,"Contador | Bogotá D.C. $430.000.000 Apartaestudio en Venta, Contador, Bogotá D.C.",$430.000.000,54,1,1,1,Contador,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-santa-barbara-central-1-habitaciones-1-banos-1-garajes/22985-M6852184,22985-M6852184,"SANTA BARBARA CENTRAL | Norte | Bogotá D.C. $230.000.000 Apartaestudio en Venta, SANTA BARBARA CENTRAL, Bogotá D.C.",$230.000.000,31,1,1,1,SANTA BARBARA CENTRAL,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-el-contador-1-habitaciones-1-banos-1-garajes/20837-M6942890,20837-M6942890,"Contador | Norte | Bogotá D.C. $345.000.000 Apartaestudio en Venta, Contador, Bogotá D.C.",$345.000.000,36.47,1,1,1,Contador,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-la-castellana-1-habitaciones-1-banos/21242-M6490530,21242-M6490530,"CASTELLANA | Noroccidente | Bogotá D.C. Rentas cortas Disponible ahora $270.000.000 Apartaestudio en Venta, CASTELLANA, Bogotá D.C.",$270.000.000,23.16,1,1,,CASTELLANA,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/23245-M6834759,23245-M6834759,"CHICO NORTE | Norte | Bogotá D.C. $450.000.000 Apartaestudio en Venta, CHICO NORTE, Bogotá D.C.",$450.000.000,25,1,1,1,CHICO NORTE,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-los-ejidos-1-habitaciones-1-banos/20258-M6502335,20258-M6502335,"SAN ANDRESITO 38 | Occidental | Bogotá D.C. $280.000.000 Apartaestudio en Venta, SAN ANDRESITO 38, Bogotá D.C.",$280.000.000,26.62,1,1,,SAN ANDRESITO 38,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-las-nieves-1-habitaciones-1-banos/234-M6940063,234-M6940063,"CENTRO DE LAS NIEVES | Centro | Bogotá D.C. $240.000.000 Apartaestudio en Venta, CENTRO DE LAS NIEVES, Bogotá D.C.",$240.000.000,21,1,1,,CENTRO DE LAS NIEVES,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-barranquilla-paraiso-2-habitaciones-2-banos-1-garajes/23048-M7001519,23048-M7001519,"Paraiso | Barranquilla $740.000.000 Apartaestudio en Venta, Paraiso, Barranquilla",$740.000.000,65,2,2,1,Paraiso,Barranquilla,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-quimbaya-quimbaya-5-habitaciones-5-banos-4-garajes/20822-M6942303,20822-M6942303,"Quimbaya | Quimbaya $1.800.000.000 Apartaestudio en Venta, Quimbaya, Quimbaya",$1.800.000.000,1276,5,5,4,Quimbaya,Quimbaya,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-armenia-1-habitaciones-2-banos-1-garajes/23110-M6763639,23110-M6763639,"EL CAIMO | Otros | Armenia $615.000.000 Apartaestudio en Venta, EL CAIMO, Armenia",$615.000.000,80,1,2,1,EL CAIMO,Armenia,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-envigado-loma-de-las-brujas-1-habitaciones-2-banos-2-garajes/22123-M6939265,22123-M6939265,"Loma De Las Brujas | Envigado $700.000.000 Apartaestudio en Venta, Loma De Las Brujas, Envigado",$700.000.000,63,1,2,2,Loma De Las Brujas,Envigado,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-santa-marta-irotama-1-habitaciones-2-banos-1-garajes/21169-M6633949,21169-M6633949,"Destacado Irotama | Santa Marta $570.000.000 Apartaestudio en Venta, Irotama, Santa Marta",$570.000.000,48,1,2,1,Irotama,Santa Marta,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-contador-1-habitaciones-2-banos-1-garajes/15738-M6766127,15738-M6766127,"Destacado Contador | Bogotá D.C. $440.000.000 Apartaestudio en Venta, Contador, Bogotá D.C.",$440.000.000,49.8,1,2,1,Contador,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-la-castellana-1-habitaciones-1-banos/16172-M6101970,16172-M6101970,"LA CASTELLANA | Noroccidente | Bogotá D.C. $380.000.000 Apartaestudio en Venta, LA CASTELLANA, Bogotá D.C.",$380.000.000,27,1,1,,LA CASTELLANA,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-santa-marta-el-rodadero-tradicional-1-habitaciones-1-banos-1-garajes/771-M6607503,771-M6607503,"El Rodadero Tradicional | Santa Marta $340.000.000 Apartaestudio en Venta, El Rodadero Tradicional, Santa Marta",$340.000.000,34,1,1,1,El Rodadero Tradicional,Santa Marta,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-las-nieves-1-habitaciones-1-banos-1-garajes/4830-M2877183,4830-M2877183,"CENTRO CANDELARIA | Centro | Bogotá D.C. $235.000.000 Apartaestudio en Venta, CENTRO CANDELARIA, Bogotá D.C.",$235.000.000,15,1,1,1,CENTRO CANDELARIA,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-marinilla-na-1-habitaciones-2-banos/727-M5675852,727-M5675852,"Marinilla | Marinilla $350.000.000 Apartaestudio en Venta, Marinilla, Marinilla",$350.000.000,55,1,2,,Marinilla,Marinilla,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-samper-1-habitaciones-1-banos/2974-M5976442,2974-M5976442,"CENTRO INTERNACIONAL | Centro | Bogotá D.C. $375.000.000 Apartaestudio en Venta, CENTRO INTERNACIONAL, Bogotá D.C.",$375.000.000,32.71,1,1,,CENTRO INTERNACIONAL,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-samper-1-habitaciones-1-banos/2974-M5976390,2974-M5976390,"CENTRO INTERNACIONAL | Centro | Bogotá D.C. $360.000.000 Apartaestudio en Venta, CENTRO INTERNACIONAL, Bogotá D.C.",$360.000.000,27.45,1,1,,CENTRO INTERNACIONAL,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-las-nieves-1-habitaciones-1-banos/14390-M5833771,14390-M5833771,"Destacado LAS NIEVES | Centro | Bogotá D.C. $210.000.000 Apartaestudio en Venta, LAS NIEVES, Bogotá D.C.",$210.000.000,20,1,1,,LAS NIEVES,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chapinero-1-habitaciones-1-banos/15704-M6447529,15704-M6447529,"Chapinero | Bogotá D.C. $490.000.000 Apartaestudio en Venta, Chapinero, Bogotá D.C.",$490.000.000,42,1,1,,Chapinero,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-santa-marta-pozos-colorados-1-habitaciones-2-banos-1-garajes/410-M5410101,410-M5410101,"Pozos Colorados | Santa Marta $480.000.000 Apartaestudio en Venta, Pozos Colorados, Santa Marta",$480.000.000,66,1,2,1,Pozos Colorados,Santa Marta,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-molinos-norte-1-habitaciones-1-banos-1-garajes/18297-M6627007,18297-M6627007,"SANTA PAULA MOLINOS NORTE | Norte | Bogotá D.C. $449.000.000 Apartaestudio en Venta, SANTA PAULA MOLINOS NORTE, Bogotá D.C.",$449.000.000,37,1,1,1,SANTA PAULA MOLINOS NORTE,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-molinos-norte-1-habitaciones-1-banos-1-garajes/18297-M6627286,18297-M6627286,"san patricio usaquen | Norte | Bogotá D.C. $449.000.000 Apartaestudio en Venta, san patricio usaquen, Bogotá D.C.",$449.000.000,37,1,1,1,san patricio usaquen,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chico-norte-et.-iii-1-habitaciones-2-banos-2-garajes/3858-M6470612,3858-M6470612,"Chico | Norte | Bogotá D.C. $640.000.000 Apartaestudio en Venta, Chico, Bogotá D.C.",$640.000.000,52.41,1,2,2,Chico,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-molinos-norte-1-habitaciones-1-banos-1-garajes/18297-M6627315,18297-M6627315,"CHICO NAVARRA | Norte | Bogotá D.C. $449.000.000 Apartaestudio en Venta, CHICO NAVARRA, Bogotá D.C.",$449.000.000,37,1,1,1,CHICO NAVARRA,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chico-norte-et.-iii-1-habitaciones-2-banos-2-garajes/3858-M6405048,3858-M6405048,"Chico | Norte | Bogotá D.C. $640.000.000 Apartaestudio en Venta, Chico, Bogotá D.C.",$640.000.000,52.41,1,2,2,Chico,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-la-sabana-1-habitaciones-2-banos/17176-M6151361,17176-M6151361,"La Sabana | Bogotá D.C. $345.000.000 Apartaestudio en Venta, La Sabana, Bogotá D.C.",$345.000.000,48.5,1,2,,La Sabana,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-normandia-1-habitaciones-1-banos/11698-M6945712,11698-M6945712,"NORMANDIA ORIENTAL | Occidental | Bogotá D.C. $250.000.000 Apartaestudio en Venta, NORMANDIA ORIENTAL, Bogotá D.C.",$250.000.000,23,1,1,,NORMANDIA ORIENTAL,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-santa-barbara-occidental-1-habitaciones-2-banos-1-garajes/2648-M6857163,2648-M6857163,"Santa Barbara Occidental | Bogotá D.C. $500.000.000 Apartaestudio en Venta, Santa Barbara Occidental, Bogotá D.C.",$500.000.000,53.81,1,2,1,Santa Barbara Occidental,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-rincon-del-chico-1-habitaciones-1-banos-1-garajes/17155-M6165399,17155-M6165399,"chico norte rincon | Norte | Bogotá D.C. $560.000.000 Apartaestudio en Venta, chico norte rincon, Bogotá D.C.",$560.000.000,26,1,1,1,chico norte rincon,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-envigado-alto-del-escobero-1-habitaciones-1-banos-1-garajes/10159-M6724621,10159-M6724621,"Alto Del Escobero | Envigado $620.000.000 Apartaestudio en Venta, Alto Del Escobero, Envigado",$620.000.000,39,1,1,1,Alto Del Escobero,Envigado,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-pereira-bulevar-del-cafe-1-habitaciones-1-banos/MC6790763,MC6790763,"CERRITOS Zona Urbana | Zona Urbana | Pereira $390.000.000 Apartaestudio en Venta, CERRITOS Zona Urbana, Pereira",$390.000.000,43,1,1,,CERRITOS Zona Urbana,Pereira,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-barranquilla-altos-del-prado-1-habitaciones-1-banos-1-garajes/MC6760464,MC6760464,"GOLF ALTO PRADO Noroccidente | Noroccidente | Barranquilla $280.000.000 Apartaestudio en Venta, GOLF ALTO PRADO Noroccidente, Barranquilla",$280.000.000,40,1,1,1,GOLF ALTO PRADO Noroccidente,Barranquilla,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-las-ferias-occidental-1-habitaciones-1-banos/MC6099719,MC6099719,"LAS FERIAS Zona Urbana | Occidental | Bogotá D.C. $120.000.000 Apartaestudio en Venta, LAS FERIAS Zona Urbana, Bogotá D.C.",$120.000.000,32,1,1,,LAS FERIAS Zona Urbana,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-fusagasuga-antiguo-balmoral-1-habitaciones-1-banos-1-garajes/MC7018736,MC7018736,"Balmoral | Otros | Fusagasuga $290.000.000 Apartaestudio en Venta, Balmoral, Fusagasuga",$290.000.000,44,1,1,1,Balmoral,Fusagasuga,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-cabrera-3-habitaciones-4-banos-4-garajes/17285-M6704884,17285-M6704884,"Destacado Cabrera | Bogotá D.C. $3.500.000.000 Apartaestudio en Venta, Cabrera, Bogotá D.C.",$3.500.000.000,350,3,4,4,Cabrera,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-el-redil-1-habitaciones-1-banos/23024-M6719611,23024-M6719611,"Destacado El Redil | Bogotá D.C. Negociable $235.000.000 Apartaestudio en Venta, El Redil, Bogotá D.C.",$235.000.000,29.44,1,1,,El Redil,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-la-macarena-1-habitaciones-1-banos/703-M5763532,703-M5763532,"Destacado La Macarena | Bogotá D.C. $230.000.000 Apartaestudio en Venta, La Macarena, Bogotá D.C.",$230.000.000,20.5,1,1,,La Macarena,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-chico-norte-3-habitaciones-4-banos-2-garajes/17285-M7035644,17285-M7035644,"Chico Norte | Bogotá D.C. $3.365.373.000 Apartaestudio en Venta, Chico Norte, Bogotá D.C.",$3.365.373.000,162,3,4,2,Chico Norte,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-santa-marta-irotama-1-habitaciones-2-banos-1-garajes/21169-M6633970,21169-M6633970,"Irotama | Santa Marta $592.750.000 Apartaestudio en Venta, Irotama, Santa Marta",$592.750.000,48,1,2,1,Irotama,Santa Marta,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-paloquemao-1-habitaciones-1-banos/16288-M6324740,16288-M6324740,"Paloquemao | Bogotá D.C. $240.000.000 Apartaestudio en Venta, Paloquemao, Bogotá D.C.",$240.000.000,31,1,1,,Paloquemao,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-bogota-santa-ana-oriental-1-habitaciones-2-banos-1-garajes/19579-M6523407,19579-M6523407,"Santa Ana Oriental | Norte | Bogotá D.C. $1.121.000.000 Apartaestudio en Venta, Santa Ana Oriental, Bogotá D.C.",$1.121.000.000,60,1,2,1,Santa Ana Oriental,Bogotá D.C.,apartaestudio,venta,2026-09-10T04:25:40+00:00
https://www.metrocuadrado.com/inmueble/venta-apartaestudio-retiro-na-1-habitaciones-1-banos-1-garajes/21603-M6829407,21603-M6829407,"Fizebad | Retiro $550.000.000 Apartaestudio en Venta, Fizebad, Retiro",$550.000.000,47,1,1,1,Fizebad,Retiro,apartaestudio,venta,2026-09-10T04:25:40+00:00
